id,title_raw,family,sector_code,experience_level,entry_friendly,years_experience_required,city,state,onet_soc_code,shift,is_apprenticeship,req_creds,desc_snippet
bc17abfe-738c-446e-b265-c2ab66dc5db5,Material Handler,other_transportation,transportation,entry,t,,Winter Haven,FL,53-7062.00,night,f,"{""Forklift / Powered Industrial Truck Operator"",""High School Diploma""}","At Ball, integrity and trust are the foundation of who we are. Guided by our core values—""We Care. We Work. We Win.”—we create a culture where every voice matters, and every idea drives progress.
Together with our global employees, customers, and partners, we’re turning bold sustainability goals int"
7be0d8c5-61fb-42e0-85e2-e57eaa3c8c92,Building Automation Technician II,building_automation_controls,construction,mid,f,,Atlanta,GA,17-3023.00,,f,{},"Position: Building Automation Technician II Location: Atlanta, GA What will you do? This position is responsible for learning how to understand project/service requirements such as specifications, standards, schedules, and safety. This employee participates in project/service activities on-site rela"
219d497c-2d8d-4ea1-bfd1-da18bc79a201,Aircraft Support Mechanic,diesel_service_and_technology,transportation,mid,f,,Atlanta,GA,49-3011.00,,f,{},"United States, Georgia, Atlanta
TechOps
17-Aug-2026
Ref #: 33787
Starting Pay: $27.81 per hour

How you'll help us Keep Climbing (overview & key responsibilities)
The Aircraft Support Mechanic (ASM) is a critical TechOps role at Delta. In this role, you will serve as part of the crew that helps main"
9089b0d0-9bcc-4423-9a86-9ec534a5f15a,Building Automation Technician II,building_automation_controls,construction,mid,f,,Atlanta,GA,17-3023.00,,f,{},"What will you do? This position is responsible for learning how to understand project/service requirements such as specifications, standards, schedules, and safety. This employee participates in project/service activities on-site related to the coordination, installation, and commissioning of buildi"
c7f77a75-17ff-4f06-bfe5-ce51bbf2cc1a,CNC Programmer/Operator,cnc_machining,manufacturing,senior,f,7,Long Beach,CA,51-9162.00,,f,{},"As a
CNC Programmer/
Operator
,
you will be responsible for programming, setting up, and operating CNC milling machines and 5-axis gantry mills (DMG MORI and Fooke) to produce high-quality parts and components for prototype vehicles. You will work closely with our design and engineering teams to tra"
c5c038f7-28c1-4d3d-8c12-933878644fc1,Warehouse Associate Manufacturing II,other_transportation,transportation,,f,,,GA,17-3026.00,,f,"{""Forklift / Powered Industrial Truck Operator"",""High School Diploma""}",The purpose of Southwire’s College Programs is to provide valuable experience to students pursuing a bachelor’s degree or higher. Our goal is to give students meaningful work that builds on what they are learning in the classroom. Our programs are project based. Students will receive a project at th
ee7da4c4-6f75-482f-a406-24c03d68ca9a,Electrical Apprentice,electrical,construction,entry,f,,San Jose,CA,47-3013.00,,t,"{""Electrical Apprenticeship""}",Entry-level electrical apprentice. Work alongside journey electricians on grid infrastructure projects.
904fbc7d-d495-48f0-a82f-e47f7edb8c44,Electrician — Journey Level,electrical,construction,mid,f,,San Jose,CA,47-2111.00,,f,{},Journey-level electrician for commercial and industrial installations. CA license required.
b0677759-9c1d-478f-8e04-71c859b8420f,Field Service Representative,industrial_maintenance,manufacturing,entry,t,,Jacksonville,FL,43-4051.00,,f,"{""Lockout/Tagout (LOTO) Training""}","Great people make Schneider Electric a great company. Schneider’s Field Service Representatives play an impactful role within the organization - collaborating with customers, team members and third-party partners to perform assembly, startup, diagnostic, repair and preventive maintenance on both Com"
f39b2b0c-778f-47c5-8f6d-4b9353db57a6,Field Service Representative,industrial_maintenance,manufacturing,entry,t,,Phoenix,AZ,43-4051.00,,f,"{""Lockout/Tagout (LOTO) Training""}","Great people make Schneider Electric a great company. Schneider’s Field Service Representatives play an impactful role within the organization - collaborating with customers, team members and third-party partners to perform assembly, startup, diagnostic, repair and preventive maintenance on both Com"
398da005-863a-485c-a972-f555fcc71f5e,Field Service Representative - Drives/Industry,industrial_maintenance,manufacturing,entry,t,,Phoenix,AZ,43-4051.00,,f,{},"For this U.S. based position, the expected compensation range is $68,000 - $102,000 per year, which includes base pay and short-term incentive. The compensation range for this full-time position applies to candidates located within the United States. Our salary ranges are determined by reviewing rol"
392f14b7-7f5d-4e24-a95c-91318ad5e80b,Field Service Representative - HVAC/Cooling,hvac_r,construction,entry,t,,Goodyear,AZ,43-4051.00,,f,"{""Associate Degree""}","Great people make Schneider Electric a great company. Schneider’s Field Service Representatives play an impactful role within the organization - collaborating with customers, team members and third-party partners to perform assembly, startup, diagnostic, repair and preventive maintenance on both Com"
619f163a-21a4-402f-ab9c-510eb8b05894,Field Service Technician - HVAC/Cooling,hvac_r,construction,entry,t,,Atlanta,GA,49-9081.00,,f,"{""Associate Degree"",""EPA Section 608 Technician Certification""}","Great people make Schneider Electric a great company. Schneider’s Field Service Representatives play an impactful role within the organization - collaborating with customers, team members and third-party partners to perform assembly, startup, diagnostic, repair and preventive maintenance on both Com"
84ee4830-5a83-48d2-8872-a5a40e7f329b,Field Service Technician - HVAC/Cooling,hvac_r,construction,entry,t,,Atlanta,GA,49-9081.00,,f,"{""Associate Degree"",""EPA Section 608 Technician Certification""}","Great people make Schneider Electric a great company. Schneider’s Field Service Representatives play an impactful role within the organization - collaborating with customers, team members and third-party partners to perform assembly, startup, diagnostic, repair and preventive maintenance on both Com"
dde856d5-1a5e-449a-b28c-c621262d2fdb,Field Service Technician I,automotive_ev_service,transportation,entry,f,,Atlanta,GA,49-9081.00,,f,{},"Join our team as a Field Service Technician and help deliver technology solutions that advance sustainability and automation. In this hands-on role, you’ll install, maintain, and troubleshoot systems that reduce environmental impact and boost efficiency—working with smart tools and eco-friendly prac"
4f09ba62-f310-4d0e-820d-c4046877a994,Field Service Technician-1,industrial_maintenance,manufacturing,mid,f,,Unspecified,FL,49-9081.00,,f,{},"Job Description Summary
Job Description
Who We Are
Solar and Storage Solutions
provides reliable, affordable and dispatchable integration of renewable energies. The business unit, part of GE Vernova, works with utilities and developers to create Solar and Storage Solutions power networks, which comb"
9ad0d344-059a-4723-88ea-4255400e5a76,Ground Maintenance Mechanic (Motorized),manufacturing_production,manufacturing,mid,f,,Los Angeles,CA,49-3031.00,,f,{},"United States, California, Los Angeles
Airport Customer Service
17-Apr-2026
Ref #: 32263
LinkedIn Tag: #LI-LR3
Starting Pay: $32.65 per hour

How you'll help us Keep Climbing (overview & key responsibilities)
Internal Movement Eligibility
Internal Employees: Before applying for this position, please"
20c6eb5b-170a-4a62-9a6d-914ebb2d054c,Tooling & Maintenance Specialist - Night Shift,industrial_maintenance,manufacturing,senior,f,5,Winter Haven,FL,37-3011.00,night,f,"{""High School Diploma""}","At Ball, integrity and trust are the foundation of who we are. Guided by our core values—
""We Care. We Work. We Win.”
—we create a culture where every voice matters, and every idea drives progress.
Together with our global employees, customers, and partners, we’re turning bold sustainability goals i"
bbb6c9ea-baef-44ff-b084-085be2c89941,Hourly Warehouse Team Member - Temporary Full-Time - Ontario HVC (PS&L),manufacturing_production,manufacturing,mid,f,,Ontario,CA,53-7065.00,,f,{},"Rate of Pay and Benefits:
Starting wage rate at $21.00 per hour plus applicable shift premiums.
Benefits:
Immediate access to Best-in-Class Company provided healthcare!
The National PPO plan is provided at no monthly premium to the employee.
Prescription Drug Coverage
Life Insurance Coverage - Eligi"
f598393a-49cf-4330-97e9-3febf3c6614a,HVAC Installer - 2nd Shift (Apprenticeship Program),hvac_r,construction,entry,t,,Atlanta,GA,49-9021.00,evening,t,"{""DOL Registered Apprenticeship — Journeyworker""}","Join our registered apprenticeship program. No experience necessary, we will train. Veterans are encouraged to apply."
fd5e0d1f-84b6-4d22-a957-63fdf5b36602,Industrial Electrician Technician,electrical,construction,mid,f,,Fairfield,CA,49-2094.00,,f,"{""High School Diploma""}","At Ball, integrity and trust are the foundation of who we are. Guided by our core values —""We Care. We Work. We Win.”— we create a culture where every voice matters, and every idea drives progress.
Together with our global employees, customers, and partners, we’re turning bold sustainability goals i"
92c5c760-9d54-4e5c-b978-20ab22e766f2,Line Operator Mechanic,diesel_service_and_technology,transportation,entry,t,,Whitby,CA,49-3023.00,,f,"{""High School Diploma"",""Forklift / Powered Industrial Truck Operator""}","At Ball, integrity and trust are the foundation of who we are. Guided by our core values —""We Care. We Work. We Win.”— we create a culture where every voice matters, and every idea drives progress.
Together with our global employees, customers, and partners, we’re turning bold sustainability goals i"
95614908-a096-4942-98c5-186ebfeb031f,HVAC-Electrical Technician,electrical,construction,mid,f,,Phoenix,AZ,17-3023.00,,f,{},Combined HVAC and electrical troubleshooting for commercial buildings. Open to relocation candidates.
1bf0ac7a-e529-4e85-9cdb-5bea8e082fd1,Electronic Technician,electrical,construction,mid,f,,Carrollton,GA,17-3023.00,,f,"{""High School Diploma""}","Electronic Technician
Apply now »
Date:
Jul 26, 2026
Location:
Carrollton, GA, US, 30117
Company:
Southwire Company LLC
A leader in technology and innovation, Southwire Company, LLC is one of North America’s largest wire and cable producers. Southwire and its subsidiaries manufacture building wire a"
707c18e2-5cba-4985-8dd6-26b3a8a60a95,Maintenance Mechanic,industrial_maintenance,manufacturing,mid,f,4,Goodyear,AZ,49-9041.00,,f,"{""High School Diploma""}","At Ball, integrity and trust are the foundation of who we are. Guided by our core values —""We Care. We Work. We Win.”— we create a culture where every voice matters, and every idea drives progress.
Together with our global employees, customers, and partners, we’re turning bold sustainability goals i"
88fed694-ea9b-4bfa-a0e3-7edf70bcfc1a,Materials Handler,other_transportation,transportation,entry,f,1,Douglas,GA,53-7062.00,night,f,"{""Forklift / Powered Industrial Truck Operator"",""High School Diploma""}","Materials Handler
Apply now »
Date:
Aug 13, 2026
Location:
Douglas, GA, US, 31535
Company:
Southwire Company LLC
A leader in technology and innovation, Southwire Company, LLC is one of North America’s largest wire and cable producers. Southwire and its subsidiaries manufacture building wire and cabl"
6b516d60-f9b8-449c-a7f4-b4a140372932,Order Filler,other_transportation,transportation,mid,f,,Villa Rica,GA,53-7065.00,,f,"{""Forklift / Powered Industrial Truck Operator"",""High School Diploma""}","Order Filler
Apply now »
Date:
Jul 23, 2026
Location:
Villa Rica, GA, US, 30180
Company:
Southwire Company LLC
A leader in technology and innovation, Southwire Company, LLC is one of North America’s largest wire and cable producers. Southwire and its subsidiaries manufacture building wire and cable,"
8289f495-863f-4244-af82-0f40d2122358,Powerline Technician - Lineman - Underground,electrical,construction,mid,f,,Vaughan,CA,47-2111.00,,f,"{""Journeyman Lineman"",""Confined Space Entry Training""}","Powerline Technician - Lineman - Underground
Apply now »
Date:
Aug 11, 2026
Location:
Vaughan, ON, CA, L4K 4B5
Company:
Southwire Company LLC
Are you ready to join the People Behind the Power™ of our Canadian organization, which has consistently achieved a Great Place to Work (GPTW) certification in"
ced66e0d-fea0-4c45-a6b0-03b0c7d3993c,Production Supervisor,manufacturing_production,manufacturing,management,f,,Goodyear,AZ,51-1011.00,,f,{},Join our dynamic manufacturing team as a Production Team Leader and drive operational excellence! We're looking for a passionate leader to inspire and guide our production teams while championing continuous improvement initiatives. What will you do: Lead and mentor production teams to achieve optima
ff130393-5827-4156-ba91-3d44cea084bc,Production Technician,manufacturing_production,manufacturing,mid,f,,Fairfield,CA,27-4012.00,night,f,"{""High School Diploma""}","Do you want to work for a world-leading manufacturer who strives to build a better future through sustainability and innovation? Are you looking for a new challenge in a stable, fast-growing sector?
Join us, and build your career by helping us build the future.
We are a global leader in sustainable "
cc8866c0-fd8c-4ec4-8c76-6d222ef7b305,Quality Inspector,manufacturing_production,manufacturing,entry,t,,Goodyear,AZ,45-2011.00,evening,f,{},"Join Schneider Electric as a Manufacturing Process Quality Operator and help us deliver products that meet the highest standards of safety and quality. This hands-on role is perfect for someone who values precision, teamwork, and making a tangible impact on customer satisfaction. What will you do? P"
f11111cd-0177-4bbc-a032-82cde1e21e4c,Quality Inspector,manufacturing_production,manufacturing,entry,t,,Goodyear,AZ,45-2011.00,,f,{},"Join Schneider Electric as a Manufacturing Process Quality Operator and help us deliver products that meet the highest standards of safety and quality. This hands-on role is perfect for someone who values precision, teamwork, and making a tangible impact on customer satisfaction. What will you do? P"
2815b44e-d2c8-4e28-8d97-62127318d2bd,Residential Electrician,electrical,construction,entry,f,1,San Francisco,CA,47-2111.00,,f,{},Residential wiring and panel upgrades in the Bay Area. 1-2 years experience preferred.
b9112c8c-6881-4ed1-8e11-5631d7599fd3,Senior Field Service Representative,industrial_maintenance,manufacturing,entry,t,,,FL,43-4051.00,,f,"{""Lockout/Tagout (LOTO) Training""}","Great people make Schneider Electric a great company. Schneider’s Field Service Representatives play an impactful role within the organization - collaborating with customers, team members and third-party partners to perform assembly, startup, diagnostic, repair and preventive maintenance on both Com"
30461847-21a9-44c4-a4e8-e702395d0552,Field Service Technician-2,automotive_ev_service,transportation,mid,f,,Unspecified,FL,49-9081.00,,f,{},"Job Description Summary
Job Description
Who We Are
Solar and Storage Solutions
provides reliable, affordable and dispatchable integration of renewable energies. The business unit, part of GE Vernova, works with utilities and developers to create Solar and Storage Solutions power networks, which comb"
0cf3e86d-7b7b-49b5-b0e7-95f732a9356b,Service Representative - ASCO - Miami,electrical,construction,entry,t,,Miami,FL,43-4051.00,,f,"{""Lockout/Tagout (LOTO) Training""}","Great people make Schneider Electric a great company. Schneider’s Field Service Representatives play an impactful role within the organization - collaborating with customers, team members and third-party partners to perform assembly, startup, diagnostic, repair and preventive maintenance on both Com"
d6ce56c8-37c1-4825-9f1c-6a380cc955c6,Service Representative - ASCO - Tallahassee,electrical,construction,entry,t,,Tallahassee,FL,43-4051.00,,f,"{""Lockout/Tagout (LOTO) Training""}","Great people make Schneider Electric a great company. Schneider’s Field Service Representatives play an impactful role within the organization - collaborating with customers, team members and third-party partners to perform assembly, startup, diagnostic, repair and preventive maintenance on both Com"
53f24894-9291-47ae-8284-33c3ab646baa,Service Specialist II,building_automation_controls,construction,mid,f,,Los Angeles,CA,43-4141.00,,f,{},"For this U.S. based position, the expected compensation range is $68,000- $102,000 per year, which includes base pay and short-term incentive. The compensation range for this full-time position applies to candidates located within the United States. Our salary ranges are determined by reviewing role"
8ec4f85c-539e-445f-947b-1af33a8ef07a,Site Technical Trainer,diesel_service_and_technology,transportation,mid,f,,Fairfield,CA,13-1151.00,,f,{},"This position will be posted for a minimum of 3 days and will remain open until filled or adjusted based on the volume of applicants.
Further your career at Ball, a world leader in manufacturing sustainable aluminum packaging. Achieve extraordinary things when you join our team, and make a differenc"
092dfb2b-ff27-4d1b-aa53-8719e5b2f01e,System Specialist I,building_automation_controls,construction,mid,f,,Atlanta,GA,15-1231.00,,f,{},"Position: Building Automation Technician I Location: Atlanta, GA What will you do? This position is responsible for learning how to understand project/service requirements such as specifications, standards, schedules, and safety. This employee participates in project/service activities on-site relat"
91897402-de57-4dab-9099-843ecbb624b3,System Specialist I,building_automation_controls,construction,mid,f,,Atlanta,GA,15-1231.00,,f,{},"Position: Building Automation Technician I Location: Atlanta, GA What will you do? This position is responsible for learning how to understand project/service requirements such as specifications, standards, schedules, and safety. This employee participates in project/service activities on-site relat"
6c0c32de-720f-468e-9db4-98fcf35d3476,System Specialist II,building_automation_controls,construction,mid,f,,,GA,15-1231.00,,f,{},"Position: Building Automation Technician II Location: GA What will you do? This position is responsible for learning how to understand project/service requirements such as specifications, standards, schedules, and safety. This employee participates in project/service activities on-site related to th"
784960ea-8969-447d-935d-2a0e711996d6,System Specialist II,building_automation_controls,construction,mid,f,,Atlanta,GA,15-1231.00,,f,{},"Position: Building Automation Technician II Location: Atlanta, GA What will you do? This position is responsible for learning how to understand project/service requirements such as specifications, standards, schedules, and safety. This employee participates in project/service activities on-site rela"
aa9c7ad9-821b-405c-8099-64057cbf133a,System Specialist II,hvac_r,construction,mid,f,,,GA,15-1231.00,,f,{},"What will you do? This position is responsible for learning how to understand project/service requirements such as specifications, standards, schedules, and safety. This employee participates in project/service activities on-site related to the coordination, installation, and commissioning of buildi"
bd562210-99d4-4bde-8780-2e54953bf3dd,System Specialist II,building_automation_controls,construction,mid,f,,Atlanta,GA,15-1231.00,,f,{},"Position: Building Automation Technician II Location: Atlanta, GA What will you do? This position is responsible for learning how to understand project/service requirements such as specifications, standards, schedules, and safety. This employee participates in project/service activities on-site rela"
d2b5bb83-b02b-43d9-9075-87bcffd426ba,System Specialist III,building_automation_controls,construction,senior,f,,Atlanta,GA,15-1231.00,,f,{},"Position: Building Automation Technician III Location: Atlanta, GA What will you do? This position is responsible for learning how to understand project/service requirements such as specifications, standards, schedules, and safety. This employee participates in project/service activities on-site rel"
418555e6-0dd3-45f7-ba3f-2eb6faca3972,Warehouse Associate (Cor),other_transportation,transportation,mid,f,,Chino,CA,51-9111.00,,f,"{""Forklift / Powered Industrial Truck Operator""}","Join our warehouse team and become part of a supply chain that delivers results every day. We're hiring a Warehouse Operations Operator who's ready to roll up their sleeves, work safely, and help us fulfill orders with accuracy and efficiency. What will you do? Handle receiving, storing, and shippin"
92590e54-154b-4c57-bb63-9474a07ed6f7,Warehouse Associate Manufacturing II,other_transportation,transportation,mid,f,,Carrollton,GA,17-3026.00,,f,"{""Forklift / Powered Industrial Truck Operator"",""High School Diploma""}","Warehouse Associate Manufacturing II
Apply now »
Date:
Jul 21, 2026
Location:
Carrollton, GA, US, 30119
Company:
Southwire Company LLC
A leader in technology and innovation, Southwire Company, LLC is one of North America’s largest wire and cable producers. Southwire and its subsidiaries manufacture "
6e0cf920-9cdc-40a1-a692-9191c7cde9f1,Welder,welding_fabrication,construction,mid,f,,Chamblee,GA,51-4121.00,evening,f,"{""High School Diploma"",""GED / High School Equivalency""}","Job Description Summary
GE Vernova (NYSE: GEV) Addressing the climate crisis is an urgent global priority and we take our responsibility seriously. That is our singular mission at GE Vernova: continuing to electrify the world while simultaneously working to help decarbonize it.
If we want our energy"
28d43ff7-82dd-4d89-9dfa-79b6467b81f8,Building Automation Service Specialist I,diesel_service_and_technology,transportation,mid,f,,Pleasanton,CA,,,f,"{""High School Diploma"",""Tridium Niagara 4 Certification""}","For this U.S. based position, the expected compensation range is $80,000.00 - $120,000.00 per year, which includes base pay and short-term incentive. The compensation range for this full-time position applies to candidates located within the United States. Our salary ranges are determined by reviewi"
5b7de9fd-608f-4751-bf57-ea7f12da966f,Continuous Improvement Leader,electrical,construction,mid,f,4,Goodyear,AZ,,,f,{},"Schneider Electric has an opportunity to join our Goodyear, Arizona team. As Supply Chain Performance Leader, you'll oversee and improve manufacturing processes to enhance efficiency, productivity, and quality. You will typically focus on optimizing production, reducing waste, and implementing conti"
abb0d5f2-47b2-4d88-99e3-319caef8a27c,Manufacturing Cell Lead (2nd Shift),electrical,construction,senior,f,,Goodyear,AZ,,evening,f,{},"We're hiring a Team Lead to supervise manual cell operations and drive daily performance in safety, quality, and output. If you thrive in a hands-on leadership role where you coach teams, solve problems, and optimize workflows, this opportunity is for you. What will you do? Lead daily manual cell op"
a50ce27e-34e7-4a00-821d-3066412287bf,"Materials Leader (Pensacola, FL)",other_transportation,transportation,mid,f,4,Pensacola,FL,,,f,"{""High School Diploma"",""GED / High School Equivalency"",""Lean Six Sigma Belt""}","Job Description Summary
The Materials Leader is responsible for overseeing the end-to-end materials management process, including planning, procurement, inventory control, and logistics. This role ensures the seamless flow of materials to support production schedules while optimizing inventory level"
bf6b4bf7-bb1c-4622-ba58-0f138afba361,Warehouse Associate Manufacturing II,other_transportation,transportation,mid,f,,Carrollton,GA,17-3026.00,,f,"{""Forklift / Powered Industrial Truck Operator"",""High School Diploma""}","Warehouse Associate Manufacturing II
Apply now »
Date:
Aug 7, 2026
Location:
Carrollton, GA, US, 30119
Company:
Southwire Company LLC
A leader in technology and innovation, Southwire Company, LLC is one of North America’s largest wire and cable producers. Southwire and its subsidiaries manufacture b"
dfdbfa94-bd0f-4354-8b70-43182e0a7f8d,Aircraft Maintenance Technician,manufacturing_production,manufacturing,mid,f,,Los Angeles,CA,49-3011.00,,f,{},"United States, California, Los Angeles
TechOps
03-Jun-2026
Ref #: 32836
Starting Pay: $48.67 per hour

How you'll help us Keep Climbing (overview & key responsibilities)
The Aircraft Maintenance Technician (AMT) is a critical TechOps role at Delta. In this role, you will maintain the proper and safe"
